food_code,category
24198720,"Chicken, whole pieces"
24198729,"Chicken patties, nuggets and tenders"
24198731,"Chicken patties, nuggets and tenders"
24198732,"Chicken patties, nuggets and tenders"
24198735,"Chicken patties, nuggets and tenders"
24198736,"Chicken patties, nuggets and tenders"
24198737,"Chicken patties, nuggets and tenders"
24198739,"Chicken patties, nuggets and tenders"
24198741,"Chicken patties, nuggets and tenders"
24198742,"Chicken patties, nuggets and tenders"
24198745,"Chicken patties, nuggets and tenders"
24198746,"Chicken patties, nuggets and tenders"
24198747,"Chicken patties, nuggets and tenders"
24201000,"Turkey, duck, other poultry"
24201020,"Turkey, duck, other poultry"
24201030,"Turkey, duck, other poultry"
24201060,"Turkey, duck, other poultry"
24201070,"Turkey, duck, other poultry"
24201120,"Turkey, duck, other poultry"
24201130,"Turkey, duck, other poultry"
24201220,"Turkey, duck, other poultry"
24201230,"Turkey, duck, other poultry"
24201320,"Turkey, duck, other poultry"
24201330,"Turkey, duck, other poultry"
24201360,"Turkey, duck, other poultry"
24201370,"Turkey, duck, other poultry"
24201410,"Turkey, duck, other poultry"
24201420,"Turkey, duck, other poultry"
24201510,"Turkey, duck, other poultry"
24201520,"Turkey, duck, other poultry"
24202010,"Turkey, duck, other poultry"
24202020,"Turkey, duck, other poultry"
24202060,"Turkey, duck, other poultry"
24202070,"Turkey, duck, other poultry"
24202460,"Turkey, duck, other poultry"
24202500,"Turkey, duck, other poultry"
24202600,"Turkey, duck, other poultry"
24203010,"Turkey, duck, other poultry"
24203020,"Turkey, duck, other poultry"
24205000,"Turkey, duck, other poultry"
24205100,"Turkey, duck, other poultry"
24206000,"Turkey, duck, other poultry"
24207000,"Turkey, duck, other poultry"
24208000,"Turkey, duck, other poultry"
24208500,Bacon
24208510,Bacon
24300110,"Turkey, duck, other poultry"
24300120,"Turkey, duck, other poultry"
24301010,"Turkey, duck, other poultry"
24301020,"Turkey, duck, other poultry"
24302010,"Turkey, duck, other poultry"
24311010,"Turkey, duck, other poultry"
24400010,"Turkey, duck, other poultry"
24400020,"Turkey, duck, other poultry"
24401010,"Turkey, duck, other poultry"
24401020,"Turkey, duck, other poultry"
24402100,"Turkey, duck, other poultry"
24402110,"Turkey, duck, other poultry"
24403100,"Turkey, duck, other poultry"
24404100,"Turkey, duck, other poultry"
24701010,Baby food: meat and dinners
24703010,Baby food: meat and dinners
25110140,Liver and organ meats
25110450,Liver and organ meats
25112200,Liver and organ meats
25120000,Liver and organ meats
25130000,Liver and organ meats
25140110,Liver and organ meats
25150000,Liver and organ meats
25160000,Liver and organ meats
25160130,Liver and organ meats
25170110,Liver and organ meats
25170210,Liver and organ meats
25170310,Liver and organ meats
25170420,Liver and organ meats
25210110,Frankfurters
25210210,Frankfurters
25210280,Frankfurters
25210290,Frankfurters
25210410,Frankfurters
25220105,Sausages
25220150,Sausages
25220210,Sausages
25220350,Sausages
25220360,Sausages
25220410,Cold cuts and cured meats
25220425,Cold cuts and cured meats
25220435,Cold cuts and cured meats
25220710,Sausages
25220910,Cold cuts and cured meats
25221110,Sausages
25221210,Cold cuts and cured meats
25221215,Cold cuts and cured meats
25221220,Cold cuts and cured meats
25221250,Cold cuts and cured meats
25221255,Cold cuts and cured meats
25221260,Cold cuts and cured meats
25221310,Sausages
25221350,Sausages
25221400,Sausages
25221405,Sausages
25221406,Sausages
25221408,Sausages
25221460,Sausages
25221500,Cold cuts and cured meats
25221505,Cold cuts and cured meats
25221515,Cold cuts and cured meats
25221610,Sausages
25221810,Sausages
25221830,Sausages
25221855,Sausages
25221870,Sausages
25221910,Sausages
25221950,Sausages
25230110,Cold cuts and cured meats
25230210,Cold cuts and cured meats
25230220,Cold cuts and cured meats
25230320,Cold cuts and cured meats
25230340,Cold cuts and cured meats
25230420,Cold cuts and cured meats
25230530,Cold cuts and cured meats
25230550,Cold cuts and cured meats
25230560,Cold cuts and cured meats
25230610,Cold cuts and cured meats
25230780,Cold cuts and cured meats
25230785,Cold cuts and cured meats
25230800,Cold cuts and cured meats
25231110,Cold cuts and cured meats
25231120,Cold cuts and cured meats
25240000,Cold cuts and cured meats
25240110,Cold cuts and cured meats
25240220,Cold cuts and cured meats
26100100,Fish
26100110,Fish
26100120,Fish
26100130,Fish
26100140,Fish
26100160,Fish
26100180,Fish
26100190,Fish
26100270,Fish
26101110,Fish
26105110,Fish
26107110,Fish
26107120,Fish
26107123,Fish
26107130,Fish
26107140,Fish
26107160,Fish
26109110,Fish
26109120,Fish
26109123,Fish
26109130,Fish
26109140,Fish
26109160,Fish
26111110,Fish
26113110,Fish
26115110,Fish
26115120,Fish
26115123,Fish
26115130,Fish
26115140,Fish
26115160,Fish
26117110,Fish
26117120,Fish
26117121,Fish
26117130,Fish
26117140,Fish
26117160,Fish
26118010,Fish
26119110,Fish
26119180,Fish
26121110,Fish
26121120,Fish
26121121,Fish
26121131,Fish
26121140,Fish
26121180,Fish
26123110,Fish
26127110,Fish
26127120,Fish
26127123,Fish
26127130,Fish
26127140,Fish
26127160,Fish
26129110,Fish
26131110,Fish
26131120,Fish
26131121,Fish
26131130,Fish
26131140,Fish
26131160,Fish
26133110,Fish
26137100,Fish
26137110,Fish
26137120,Fish
26137123,Fish
